Super Mario All-Stars.jpeg, https://archive.org/download/snes-romset-ultra-us/Super%20Mario%20All-Stars%20%2B%20Super%20Mario%20World%20%28U%29%20%5B%21%5D.zip/Super%20Mario%20All-Stars%20%2B%20Super%20Mario%20World%20%28U%29%20%5B%21%5D.smc
The Legend of Zelda- A Link to the Past.jpeg, https://archive.org/download/snes-romset-ultra-us/Legend%20of%20Zelda%2C%20The%20-%20A%20Link%20to%20the%20Past%20%28U%29%20%5B%21%5D.zip/Legend%20of%20Zelda%2C%20The%20-%20A%20Link%20to%20the%20Past%20%28U%29%20%5B%21%5D.smc
Donkey Kong Country 2.jpeg, https://archive.org/download/snes-romset-ultra-us/Donkey%20Kong%20Country%202%20-%20Diddy%27s%20Kong%20Quest%20%28U%29%20%28V1.1%29%20%5B%21%5D.zip/Donkey%20Kong%20Country%202%20-%20Diddy%27s%20Kong%20Quest%20%28U%29%20%28V1.1%29%20%5B%21%5D.smc
Teenage Mutant Ninja Turtles IV.webp, https://archive.org/download/snes-romset-ultra-us/Teenage%20Mutant%20Ninja%20Turtles%20IV%20-%20Turtles%20in%20Time%20%28U%29%20%5B%21%5D.zip/Teenage%20Mutant%20Ninja%20Turtles%20IV%20-%20Turtles%20in%20Time%20%28U%29%20%5B%21%5D.smc
Disney's Aladdin.jpeg, https://archive.org/download/snes-romset-ultra-us/Aladdin%20%28U%29%20%5B%21%5D.zip/Aladdin%20%28U%29%20%5B%21%5D.smc
The Jungle Book.webp, https://archive.org/download/snes-romset-ultra-us/Jungle%20Book%2C%20The%20%28U%29.zip/Jungle%20Book%2C%20The%20%28U%29.smc
Street Fighter II.webp, https://archive.org/download/snes-romset-ultra-us/Street%20Fighter%20II%20Turbo%20-%20Hyper%20Fighting%20%28U%29%20%5B%21%5D.zip/Street%20Fighter%20II%20Turbo%20-%20Hyper%20Fighting%20%28U%29%20%5B%21%5D.smc
Mega Man X.png, https://archive.org/download/snes-romset-ultra-us/Mega%20Man%20X%20%28U%29%20%28V1.1%29%20%5B%21%5D.zip/Mega%20Man%20X%20%28U%29%20%28V1.1%29%20%5B%21%5D.smc
Contra III- The Alien Wars.webp, https://archive.org/download/snes-romset-ultra-us/Contra%20III%20-%20The%20Alien%20Wars%20%28U%29%20%5B%21%5D.zip/Contra%20III%20-%20The%20Alien%20Wars%20%28U%29%20%5B%21%5D.smc
Sonic the Hedgehog.webp, https://archive.org/download/snes-romset-ultra-us/Sonic%20the%20Hedgehog%20%28Unl%29.zip/Sonic%20the%20Hedgehog%20%28Unl%29.smc
X-Men- Mutant Apocalypse.jpeg, https://archive.org/download/snes-romset-ultra-us/X-Men%20-%20Mutant%20Apocalypse%20%28U%29.zip/X-Men%20-%20Mutant%20Apocalypse%20%28U%29.smc
Super Bomberman.png, https://archive.org/download/snes-romset-ultra-us/Super%20Bomberman%20%28U%29.zip/Super%20Bomberman%20%28U%29.smc